name,rating,review_count,price,latitude,longitude,address,city,state,categories
Nauti K's Riverside Bar & Grill,4.4,21,,35.873697,-83.943059,"3725 Maryville Pike, Knoxville, TN 37920",Knoxville,TN,"Bars, Burgers, Hot Dogs"
Cappuccino's,4.0,65,$$$,35.92883,-84.0317,"7316 Kingston Pike, Knoxville, TN 37919",Knoxville,TN,Italian
Brazeiros Churrascaria - Brazilian Steakhouse,4.2,253,$$$,35.9331908,-84.018729,"6901 Kingston Pike, Knoxville, TN 37919",Knoxville,TN,"Brazilian, Steakhouses"
Barrelhouse By Gypsy Circus,4.5,106,,35.975648,-83.922549,"621 Lamar St, Knoxville, TN 37917",Knoxville,TN,"Breweries, Cideries, Barbeque"
Savelli's Italian Restaurant,3.3,197,$$,35.95228,-83.96705,"3055 Sutherland Ave, Knoxville, TN 37919",Knoxville,TN,Italian
Turkish Market & Deli,4.7,286,$$,35.92379761130936,-84.05013625657729,"8078 Kingston Pike, Ste 121, Knoxville, TN 37919",Knoxville,TN,"Grocery, Turkish, Delis"
Aubrey's - Papermill,3.7,194,$$,35.93768,-84.00582,"6005 Brookvale Ln, Knoxville, TN 37919",Knoxville,TN,American
Sabor Catracho Latin Cuisine,4.4,31,$,36.0077549,-83.9662959,"4705 Central Ave Pike, Knoxville, TN 37912",Knoxville,TN,"Latin American, Mexican, Honduran"
Yassin's Falafel House,4.6,464,$,35.9625396728516,-83.9190444946289,"706 Walnut St, Knoxville, TN 37902",Knoxville,TN,"Falafel, Greek, Middle Eastern"
Austin's Steak & Homestyle Buffet,4.0,158,$$,36.0050278,-83.9795106,"900 Merchant Dr, Knoxville, TN 37912",Knoxville,TN,"Buffets, Steakhouses, American"
Pizzeria Nora,4.9,45,$,35.9903111983253,-83.9400563389063,"2400 N Central St, Knoxville, TN 37917",Knoxville,TN,Pizza
CAVA,4.3,73,,35.93102483175442,-84.0132407,"6638 Kingston Pike, Knoxville, TN 37919",Knoxville,TN,"Mediterranean, Salad, Greek"
Copper Cellar West,4.1,183,$$,35.9293977510318,-84.0318733167029,"7316 Kingston Pike, Knoxville, TN 37919",Knoxville,TN,Steakhouses
Knox Brew Hub,4.9,30,,35.964515,-83.920121,"421 Union Ave, Knoxville, TN 37902",Knoxville,TN,"Beer Bar, Sandwiches"
Boyd's Jig and Reel,4.1,192,$$,35.970157623291,-83.9185485839844,"101 S Central St, Knoxville, TN 37902",Knoxville,TN,"Scottish, Pubs, Music Venues"
Jacob's Restaurant & Grill,4.5,49,$,35.957488,-84.003188,"5307 N Middlebrook Pike, Knoxville, TN 37921",Knoxville,TN,"Burgers, American, Delis"
Pho 99,3.9,194,$$,35.9210202,-84.0865911,"9117 Executive Park Dr, Knoxville, TN 37923",Knoxville,TN,Vietnamese
Szechuan Garden Chinese Restaurant,4.4,146,$,35.93579709084952,-83.9070689,"4211 Chapman Hwy, Knoxville, TN 37920",Knoxville,TN,Chinese
Corner 16,3.8,316,$$,35.9474306429776,-84.1158789260433,"1640 Bob Kirby Rd, Knoxville, TN 37931",Knoxville,TN,"Southern, Comfort Food, Burgers"
Tennessee Tap House,3.9,168,$$,35.91437,-84.09599,"350 N Peters Rd, Knoxville, TN 37922",Knoxville,TN,"Pizza, American, Sports Bars"
